scenario,mode,frame,pass,frame_cpu_ms,submitted_rows,first_row,last_row,discard_requests,refused,reasons
Idle,All,0,0,21.596458,10000,0,9999,0,false,
Idle,All,1,0,21.095167,10000,0,9999,0,false,
Idle,All,2,0,21.152500,10000,0,9999,0,false,
Idle,All,3,0,21.197125,10000,0,9999,0,false,
Idle,All,4,0,21.215666,10000,0,9999,0,false,
Idle,All,5,0,20.701625,10000,0,9999,0,false,
Idle,All,6,0,21.080166,10000,0,9999,0,false,
Idle,All,7,0,21.169458,10000,0,9999,0,false,
Idle,All,8,0,21.065166,10000,0,9999,0,false,
Idle,All,9,0,21.544458,10000,0,9999,0,false,
Idle,All,10,0,21.488417,10000,0,9999,0,false,
Idle,All,11,0,21.254666,10000,0,9999,0,false,
Idle,All,12,0,21.484500,10000,0,9999,0,false,
Idle,All,13,0,21.503875,10000,0,9999,0,false,
Idle,All,14,0,22.026125,10000,0,9999,0,false,
Idle,All,15,0,21.715291,10000,0,9999,0,false,
Idle,All,16,0,21.434167,10000,0,9999,0,false,
Idle,All,17,0,21.336833,10000,0,9999,0,false,
Idle,All,18,0,22.950292,10000,0,9999,0,false,
Idle,All,19,0,26.367375,10000,0,9999,0,false,
Idle,All,20,0,23.285000,10000,0,9999,0,false,
Idle,All,21,0,24.695458,10000,0,9999,0,false,
Idle,All,22,0,26.651167,10000,0,9999,0,false,
Idle,All,23,0,23.850917,10000,0,9999,0,false,
Idle,All,24,0,22.205333,10000,0,9999,0,false,
Idle,All,25,0,21.632000,10000,0,9999,0,false,
Idle,All,26,0,21.595000,10000,0,9999,0,false,
Idle,All,27,0,21.547375,10000,0,9999,0,false,
Idle,All,28,0,21.316250,10000,0,9999,0,false,
Idle,All,29,0,22.118209,10000,0,9999,0,false,
Idle,All,30,0,21.325833,10000,0,9999,0,false,
Idle,All,31,0,21.592667,10000,0,9999,0,false,
Idle,All,32,0,21.302000,10000,0,9999,0,false,
Idle,All,33,0,21.696416,10000,0,9999,0,false,
Idle,All,34,0,21.641333,10000,0,9999,0,false,
Idle,All,35,0,20.936792,10000,0,9999,0,false,
Idle,All,36,0,21.197500,10000,0,9999,0,false,
Idle,All,37,0,21.037542,10000,0,9999,0,false,
Idle,All,38,0,21.095334,10000,0,9999,0,false,
Idle,All,39,0,21.087459,10000,0,9999,0,false,
Idle,All,40,0,21.154625,10000,0,9999,0,false,
Idle,All,41,0,21.402959,10000,0,9999,0,false,
Idle,All,42,0,21.312833,10000,0,9999,0,false,
Idle,All,43,0,21.246791,10000,0,9999,0,false,
Idle,All,44,0,21.211542,10000,0,9999,0,false,
Idle,All,45,0,21.507292,10000,0,9999,0,false,
Idle,All,46,0,21.384041,10000,0,9999,0,false,
Idle,All,47,0,21.433875,10000,0,9999,0,false,
Idle,All,48,0,21.077375,10000,0,9999,0,false,
Idle,All,49,0,21.345125,10000,0,9999,0,false,
Idle,All,50,0,21.255125,10000,0,9999,0,false,
Idle,All,51,0,21.304875,10000,0,9999,0,false,
Idle,All,52,0,21.434500,10000,0,9999,0,false,
Idle,All,53,0,21.212208,10000,0,9999,0,false,
Idle,All,54,0,21.442167,10000,0,9999,0,false,
Idle,All,55,0,21.757250,10000,0,9999,0,false,
Idle,All,56,0,21.831333,10000,0,9999,0,false,
Idle,All,57,0,21.398042,10000,0,9999,0,false,
Idle,All,58,0,21.734417,10000,0,9999,0,false,
Idle,All,59,0,21.911250,10000,0,9999,0,false,
Idle,All,60,0,24.448959,10000,0,9999,0,false,
Idle,All,61,0,25.603458,10000,0,9999,0,false,
Idle,All,62,0,22.434334,10000,0,9999,0,false,
Idle,All,63,0,21.782041,10000,0,9999,0,false,
Idle,All,64,0,21.749542,10000,0,9999,0,false,
Idle,All,65,0,21.342250,10000,0,9999,0,false,
Idle,All,66,0,21.575500,10000,0,9999,0,false,
Idle,All,67,0,23.249167,10000,0,9999,0,false,
Idle,All,68,0,22.653792,10000,0,9999,0,false,
Idle,All,69,0,21.771041,10000,0,9999,0,false,
Idle,All,70,0,21.648000,10000,0,9999,0,false,
Idle,All,71,0,21.328500,10000,0,9999,0,false,
Idle,All,72,0,21.130375,10000,0,9999,0,false,
Idle,All,73,0,21.174833,10000,0,9999,0,false,
Idle,All,74,0,21.211958,10000,0,9999,0,false,
Idle,All,75,0,22.109125,10000,0,9999,0,false,
Idle,All,76,0,22.869125,10000,0,9999,0,false,
Idle,All,77,0,21.775833,10000,0,9999,0,false,
Idle,All,78,0,21.668041,10000,0,9999,0,false,
Idle,All,79,0,21.257791,10000,0,9999,0,false,
Idle,All,80,0,21.606459,10000,0,9999,0,false,
Idle,All,81,0,21.315291,10000,0,9999,0,false,
Idle,All,82,0,21.539959,10000,0,9999,0,false,
Idle,All,83,0,21.663125,10000,0,9999,0,false,
Idle,All,84,0,21.255000,10000,0,9999,0,false,
Idle,All,85,0,21.319875,10000,0,9999,0,false,
Idle,All,86,0,21.805666,10000,0,9999,0,false,
Idle,All,87,0,21.524167,10000,0,9999,0,false,
Idle,All,88,0,21.336125,10000,0,9999,0,false,
Idle,All,89,0,21.253250,10000,0,9999,0,false,
Idle,All,90,0,21.420042,10000,0,9999,0,false,
Idle,All,91,0,20.987500,10000,0,9999,0,false,
Idle,All,92,0,21.206291,10000,0,9999,0,false,
Idle,All,93,0,21.065709,10000,0,9999,0,false,
Idle,All,94,0,21.234625,10000,0,9999,0,false,
Idle,All,95,0,21.184417,10000,0,9999,0,false,
Idle,All,96,0,21.501416,10000,0,9999,0,false,
Idle,All,97,0,21.085125,10000,0,9999,0,false,
Idle,All,98,0,21.430458,10000,0,9999,0,false,
Idle,All,99,0,21.194875,10000,0,9999,0,false,
Idle,All,100,0,21.296500,10000,0,9999,0,false,
Idle,All,101,0,22.648750,10000,0,9999,0,false,
Idle,All,102,0,22.131375,10000,0,9999,0,false,
Idle,All,103,0,21.392167,10000,0,9999,0,false,
Idle,All,104,0,21.208000,10000,0,9999,0,false,
Idle,All,105,0,21.667167,10000,0,9999,0,false,
Idle,All,106,0,21.367833,10000,0,9999,0,false,
Idle,All,107,0,21.175750,10000,0,9999,0,false,
Idle,All,108,0,21.179666,10000,0,9999,0,false,
Idle,All,109,0,21.237375,10000,0,9999,0,false,
Idle,All,110,0,23.248000,10000,0,9999,0,false,
Idle,All,111,0,21.874459,10000,0,9999,0,false,
Idle,All,112,0,22.329375,10000,0,9999,0,false,
Idle,All,113,0,23.458708,10000,0,9999,0,false,
Idle,All,114,0,21.922334,10000,0,9999,0,false,
Idle,All,115,0,21.645583,10000,0,9999,0,false,
Idle,All,116,0,21.283792,10000,0,9999,0,false,
Idle,All,117,0,21.098333,10000,0,9999,0,false,
Idle,All,118,0,21.249542,10000,0,9999,0,false,
Idle,All,119,0,21.284709,10000,0,9999,0,false,
Idle,Virtual,0,0,0.136458,37,0,36,0,false,
Idle,Virtual,1,0,0.115125,37,0,36,0,false,
Idle,Virtual,2,0,0.129833,37,0,36,0,false,
Idle,Virtual,3,0,0.129458,37,0,36,0,false,
Idle,Virtual,4,0,0.112792,37,0,36,0,false,
Idle,Virtual,5,0,0.138292,37,0,36,0,false,
Idle,Virtual,6,0,0.142541,37,0,36,0,false,
Idle,Virtual,7,0,0.109625,37,0,36,0,false,
Idle,Virtual,8,0,0.145875,37,0,36,0,false,
Idle,Virtual,9,0,0.148917,37,0,36,0,false,
Idle,Virtual,10,0,0.108625,37,0,36,0,false,
Idle,Virtual,11,0,0.151375,37,0,36,0,false,
Idle,Virtual,12,0,0.130500,37,0,36,0,false,
Idle,Virtual,13,0,0.135792,37,0,36,0,false,
Idle,Virtual,14,0,0.134042,37,0,36,0,false,
Idle,Virtual,15,0,0.139541,37,0,36,0,false,
Idle,Virtual,16,0,0.116125,37,0,36,0,false,
Idle,Virtual,17,0,0.142958,37,0,36,0,false,
