scenario,mode,frame,pass,frame_cpu_ms,submitted_rows,first_row,last_row,discard_requests,refused,reasons
Idle,All,0,0,38.873625,10000,0,9999,0,false,
Idle,All,1,0,38.764041,10000,0,9999,0,false,
Idle,All,2,0,39.661208,10000,0,9999,0,false,
Idle,All,3,0,38.893833,10000,0,9999,0,false,
Idle,All,4,0,39.146916,10000,0,9999,0,false,
Idle,All,5,0,38.905167,10000,0,9999,0,false,
Idle,All,6,0,38.238042,10000,0,9999,0,false,
Idle,All,7,0,38.923875,10000,0,9999,0,false,
Idle,All,8,0,38.863708,10000,0,9999,0,false,
Idle,All,9,0,38.415584,10000,0,9999,0,false,
Idle,All,10,0,42.254208,10000,0,9999,0,false,
Idle,All,11,0,39.898458,10000,0,9999,0,false,
Idle,All,12,0,39.038958,10000,0,9999,0,false,
Idle,All,13,0,39.329250,10000,0,9999,0,false,
Idle,All,14,0,43.655750,10000,0,9999,0,false,
Idle,All,15,0,40.496792,10000,0,9999,0,false,
Idle,All,16,0,38.914791,10000,0,9999,0,false,
Idle,All,17,0,38.727833,10000,0,9999,0,false,
Idle,All,18,0,38.964459,10000,0,9999,0,false,
Idle,All,19,0,38.591709,10000,0,9999,0,false,
Idle,All,20,0,38.232709,10000,0,9999,0,false,
Idle,All,21,0,38.886958,10000,0,9999,0,false,
Idle,All,22,0,38.627875,10000,0,9999,0,false,
Idle,All,23,0,38.931666,10000,0,9999,0,false,
Idle,All,24,0,38.942458,10000,0,9999,0,false,
Idle,All,25,0,38.916584,10000,0,9999,0,false,
Idle,All,26,0,38.307291,10000,0,9999,0,false,
Idle,All,27,0,38.948875,10000,0,9999,0,false,
Idle,All,28,0,38.654125,10000,0,9999,0,false,
Idle,All,29,0,38.605209,10000,0,9999,0,false,
Idle,All,30,0,38.484000,10000,0,9999,0,false,
Idle,All,31,0,38.349791,10000,0,9999,0,false,
Idle,All,32,0,42.610791,10000,0,9999,0,false,
Idle,All,33,0,39.698583,10000,0,9999,0,false,
Idle,All,34,0,39.443208,10000,0,9999,0,false,
Idle,All,35,0,41.263625,10000,0,9999,0,false,
Idle,All,36,0,40.048334,10000,0,9999,0,false,
Idle,All,37,0,38.583250,10000,0,9999,0,false,
Idle,All,38,0,39.205959,10000,0,9999,0,false,
Idle,All,39,0,41.342250,10000,0,9999,0,false,
Idle,All,40,0,40.645458,10000,0,9999,0,false,
Idle,All,41,0,39.012542,10000,0,9999,0,false,
Idle,All,42,0,38.744625,10000,0,9999,0,false,
Idle,All,43,0,39.124708,10000,0,9999,0,false,
Idle,All,44,0,38.861000,10000,0,9999,0,false,
Idle,All,45,0,38.402250,10000,0,9999,0,false,
Idle,All,46,0,39.103875,10000,0,9999,0,false,
Idle,All,47,0,39.152542,10000,0,9999,0,false,
Idle,All,48,0,39.188625,10000,0,9999,0,false,
Idle,All,49,0,38.926625,10000,0,9999,0,false,
Idle,All,50,0,38.611333,10000,0,9999,0,false,
Idle,All,51,0,38.663125,10000,0,9999,0,false,
Idle,All,52,0,39.511708,10000,0,9999,0,false,
Idle,All,53,0,38.619417,10000,0,9999,0,false,
Idle,All,54,0,38.973333,10000,0,9999,0,false,
Idle,All,55,0,38.647833,10000,0,9999,0,false,
Idle,All,56,0,38.972083,10000,0,9999,0,false,
Idle,All,57,0,38.764375,10000,0,9999,0,false,
Idle,All,58,0,38.539959,10000,0,9999,0,false,
Idle,All,59,0,38.915625,10000,0,9999,0,false,
Idle,All,60,0,39.781542,10000,0,9999,0,false,
Idle,All,61,0,41.434250,10000,0,9999,0,false,
Idle,All,62,0,38.924458,10000,0,9999,0,false,
Idle,All,63,0,38.522750,10000,0,9999,0,false,
Idle,All,64,0,40.271916,10000,0,9999,0,false,
Idle,All,65,0,42.470958,10000,0,9999,0,false,
Idle,All,66,0,39.744625,10000,0,9999,0,false,
Idle,All,67,0,38.826917,10000,0,9999,0,false,
Idle,All,68,0,38.821000,10000,0,9999,0,false,
Idle,All,69,0,38.872334,10000,0,9999,0,false,
Idle,All,70,0,38.731333,10000,0,9999,0,false,
Idle,All,71,0,38.544459,10000,0,9999,0,false,
Idle,All,72,0,39.051000,10000,0,9999,0,false,
Idle,All,73,0,43.311291,10000,0,9999,0,false,
Idle,All,74,0,40.489250,10000,0,9999,0,false,
Idle,All,75,0,39.079750,10000,0,9999,0,false,
Idle,All,76,0,39.045125,10000,0,9999,0,false,
Idle,All,77,0,39.735875,10000,0,9999,0,false,
Idle,All,78,0,39.132791,10000,0,9999,0,false,
Idle,All,79,0,39.393167,10000,0,9999,0,false,
Idle,All,80,0,38.171375,10000,0,9999,0,false,
Idle,All,81,0,38.531000,10000,0,9999,0,false,
Idle,All,82,0,39.294625,10000,0,9999,0,false,
Idle,All,83,0,38.297000,10000,0,9999,0,false,
Idle,All,84,0,38.905958,10000,0,9999,0,false,
Idle,All,85,0,38.909709,10000,0,9999,0,false,
Idle,All,86,0,39.005875,10000,0,9999,0,false,
Idle,All,87,0,38.513208,10000,0,9999,0,false,
Idle,All,88,0,38.234083,10000,0,9999,0,false,
Idle,All,89,0,38.573625,10000,0,9999,0,false,
Idle,All,90,0,42.945291,10000,0,9999,0,false,
Idle,All,91,0,39.849958,10000,0,9999,0,false,
Idle,All,92,0,38.377041,10000,0,9999,0,false,
Idle,All,93,0,38.568125,10000,0,9999,0,false,
Idle,All,94,0,38.905625,10000,0,9999,0,false,
Idle,All,95,0,38.770500,10000,0,9999,0,false,
Idle,All,96,0,38.877750,10000,0,9999,0,false,
Idle,All,97,0,39.043792,10000,0,9999,0,false,
Idle,All,98,0,38.284792,10000,0,9999,0,false,
Idle,All,99,0,42.845625,10000,0,9999,0,false,
Idle,All,100,0,41.993666,10000,0,9999,0,false,
Idle,All,101,0,39.135000,10000,0,9999,0,false,
Idle,All,102,0,39.432042,10000,0,9999,0,false,
Idle,All,103,0,39.873000,10000,0,9999,0,false,
Idle,All,104,0,39.265917,10000,0,9999,0,false,
Idle,All,105,0,38.997292,10000,0,9999,0,false,
Idle,All,106,0,37.937084,10000,0,9999,0,false,
Idle,All,107,0,38.429916,10000,0,9999,0,false,
Idle,All,108,0,39.356458,10000,0,9999,0,false,
Idle,All,109,0,38.579666,10000,0,9999,0,false,
Idle,All,110,0,38.810292,10000,0,9999,0,false,
Idle,All,111,0,44.821583,10000,0,9999,0,false,
Idle,All,112,0,40.801000,10000,0,9999,0,false,
Idle,All,113,0,38.740166,10000,0,9999,0,false,
Idle,All,114,0,39.088667,10000,0,9999,0,false,
Idle,All,115,0,43.531458,10000,0,9999,0,false,
Idle,All,116,0,39.807792,10000,0,9999,0,false,
Idle,All,117,0,39.017083,10000,0,9999,0,false,
Idle,All,118,0,38.494125,10000,0,9999,0,false,
Idle,All,119,0,38.322250,10000,0,9999,0,false,
Idle,Virtual,0,0,0.251542,37,0,36,0,false,
Idle,Virtual,1,0,0.202125,37,0,36,0,false,
Idle,Virtual,2,0,0.240875,37,0,36,0,false,
Idle,Virtual,3,0,0.233917,37,0,36,0,false,
Idle,Virtual,4,0,0.192500,37,0,36,0,false,
Idle,Virtual,5,0,0.226416,37,0,36,0,false,
Idle,Virtual,6,0,0.237792,37,0,36,0,false,
Idle,Virtual,7,0,0.196208,37,0,36,0,false,
Idle,Virtual,8,0,0.227000,37,0,36,0,false,
Idle,Virtual,9,0,0.224917,37,0,36,0,false,
Idle,Virtual,10,0,0.195542,37,0,36,0,false,
Idle,Virtual,11,0,0.247000,37,0,36,0,false,
Idle,Virtual,12,0,0.241500,37,0,36,0,false,
Idle,Virtual,13,0,0.196709,37,0,36,0,false,
Idle,Virtual,14,0,0.234041,37,0,36,0,false,
Idle,Virtual,15,0,0.246250,37,0,36,0,false,
Idle,Virtual,16,0,0.184000,37,0,36,0,false,
Idle,Virtual,17,0,0.232500,37,0,36,0,false,
Idle,Virtual,18,0,0.225125,37,0,36,0,false,
Idle,Virtual,19,0,0.191708,37,0,36,0,false,
Idle,Virtual,20,0,0.246958,37,0,36,0,false,
Idle,Virtual,21,0,0.234750,37,0,36,0,false,
Idle,Virtual,22,0,0.197667,37,0,36,0,false,
Idle,Virtual,23,0,0.260583,37,0,36,0,false,
Idle,Virtual,24,0,0.228458,37,0,36,0,false,
Idle,Virtual,25,0,0.200166,37,0,36,0,false,
Idle,Virtual,26,0,0.244291,37,0,36,0,false,
Idle,Virtual,27,0,0.240208,37,0,36,0,false,
Idle,Virtual,28,0,0.191917,37,0,36,0,false,
Idle,Virtual,29,0,0.252250,37,0,36,0,false,
Idle,Virtual,30,0,0.221084,37,0,36,0,false,
Idle,Virtual,31,0,0.200416,37,0,36,0,false,
Idle,Virtual,32,0,0.258666,37,0,36,0,false,
Idle,Virtual,33,0,0.233417,37,0,36,0,false,
Idle,Virtual,34,0,0.199167,37,0,36,0,false,
Idle,Virtual,35,0,0.252583,37,0,36,0,false,
Idle,Virtual,36,0,0.226250,37,0,36,0,false,
Idle,Virtual,37,0,0.193708,37,0,36,0,false,
Idle,Virtual,38,0,0.240250,37,0,36,0,false,
Idle,Virtual,39,0,0.251208,37,0,36,0,false,
Idle,Virtual,40,0,0.214417,37,0,36,0,false,
Idle,Virtual,41,0,0.233750,37,0,36,0,false,
Idle,Virtual,42,0,0.216292,37,0,36,0,false,
Idle,Virtual,43,0,0.197792,37,0,36,0,false,
Idle,Virtual,44,0,0.243083,37,0,36,0,false,
Idle,Virtual,45,0,0.228667,37,0,36,0,false,
Idle,Virtual,46,0,0.196334,37,0,36,0,false,
Idle,Virtual,47,0,0.226625,37,0,36,0,false,
Idle,Virtual,48,0,0.237416,37,0,36,0,false,
Idle,Virtual,49,0,0.204500,37,0,36,0,false,
Idle,Virtual,50,0,0.229125,37,0,36,0,false,
Idle,Virtual,51,0,0.219458,37,0,36,0,false,
Idle,Virtual,52,0,0.198208,37,0,36,0,false,
Idle,Virtual,53,0,0.216125,37,0,36,0,false,
Idle,Virtual,54,0,0.231125,37,0,36,0,false,
Idle,Virtual,55,0,0.192458,37,0,36,0,false,
Idle,Virtual,56,0,0.229000,37,0,36,0,false,
Idle,Virtual,57,0,0.233417,37,0,36,0,false,
Idle,Virtual,58,0,0.200333,37,0,36,0,false,
Idle,Virtual,59,0,0.226667,37,0,36,0,false,
Idle,Virtual,60,0,0.241041,37,0,36,0,false,
Idle,Virtual,61,0,0.198291,37,0,36,0,false,
Idle,Virtual,62,0,0.236917,37,0,36,0,false,
Idle,Virtual,63,0,0.216292,37,0,36,0,false,
Idle,Virtual,64,0,0.190792,37,0,36,0,false,
Idle,Virtual,65,0,0.230708,37,0,36,0,false,
Idle,Virtual,66,0,0.229375,37,0,36,0,false,
Idle,Virtual,67,0,0.195292,37,0,36,0,false,
Idle,Virtual,68,0,0.224625,37,0,36,0,false,
Idle,Virtual,69,0,0.226000,37,0,36,0,false,
Idle,Virtual,70,0,0.192375,37,0,36,0,false,
Idle,Virtual,71,0,0.225542,37,0,36,0,false,
Idle,Virtual,72,0,0.227167,37,0,36,0,false,
Idle,Virtual,73,0,0.220792,37,0,36,0,false,
Idle,Virtual,74,0,0.246917,37,0,36,0,false,
Idle,Virtual,75,0,0.231292,37,0,36,0,false,
Idle,Virtual,76,0,0.194583,37,0,36,0,false,
Idle,Virtual,77,0,0.244709,37,0,36,0,false,
Idle,Virtual,78,0,0.223875,37,0,36,0,false,
Idle,Virtual,79,0,0.194083,37,0,36,0,false,
Idle,Virtual,80,0,0.242750,37,0,36,0,false,
Idle,Virtual,81,0,0.226209,37,0,36,0,false,
Idle,Virtual,82,0,0.196000,37,0,36,0,false,
Idle,Virtual,83,0,0.235125,37,0,36,0,false,
Idle,Virtual,84,0,0.220000,37,0,36,0,false,
Idle,Virtual,85,0,0.189791,37,0,36,0,false,
Idle,Virtual,86,0,0.221667,37,0,36,0,false,
Idle,Virtual,87,0,0.220667,37,0,36,0,false,
Idle,Virtual,88,0,0.189417,37,0,36,0,false,
Idle,Virtual,89,0,0.235833,37,0,36,0,false,
Idle,Virtual,90,0,0.255167,37,0,36,0,false,
Idle,Virtual,91,0,0.194917,37,0,36,0,false,
Idle,Virtual,92,0,0.231375,37,0,36,0,false,
Idle,Virtual,93,0,0.235292,37,0,36,0,false,
Idle,Virtual,94,0,0.194334,37,0,36,0,false,
Idle,Virtual,95,0,0.234375,37,0,36,0,false,
Idle,Virtual,96,0,0.224584,37,0,36,0,false,
Idle,Virtual,97,0,0.194291,37,0,36,0,false,
Idle,Virtual,98,0,0.234584,37,0,36,0,false,
Idle,Virtual,99,0,0.244250,37,0,36,0,false,
Idle,Virtual,100,0,0.195833,37,0,36,0,false,
Idle,Virtual,101,0,0.257125,37,0,36,0,false,
Idle,Virtual,102,0,0.223041,37,0,36,0,false,
Idle,Virtual,103,0,0.199083,37,0,36,0,false,
Idle,Virtual,104,0,0.228000,37,0,36,0,false,
Idle,Virtual,105,0,0.223792,37,0,36,0,false,
Idle,Virtual,106,0,0.194875,37,0,36,0,false,
Idle,Virtual,107,0,0.224709,37,0,36,0,false,
Idle,Virtual,108,0,0.231000,37,0,36,0,false,
Idle,Virtual,109,0,0.198209,37,0,36,0,false,
Idle,Virtual,110,0,0.242375,37,0,36,0,false,
Idle,Virtual,111,0,0.232458,37,0,36,0,false,
Idle,Virtual,112,0,0.194125,37,0,36,0,false,
Idle,Virtual,113,0,0.248917,37,0,36,0,false,
Idle,Virtual,114,0,0.227250,37,0,36,0,false,
Idle,Virtual,115,0,0.194958,37,0,36,0,false,
Idle,Virtual,116,0,0.255500,37,0,36,0,false,
Idle,Virtual,117,0,0.228208,37,0,36,0,false,
Idle,Virtual,118,0,0.195334,37,0,36,0,false,
Idle,Virtual,119,0,0.236750,37,0,36,0,false,
Idle,Plain,0,0,0.126000,37,0,36,0,false,
Idle,Plain,1,0,0.103708,37,0,36,0,false,
Idle,Plain,2,0,0.123375,37,0,36,0,false,
Idle,Plain,3,0,0.116833,37,0,36,0,false,
Idle,Plain,4,0,0.104000,37,0,36,0,false,
Idle,Plain,5,0,0.118875,37,0,36,0,false,
Idle,Plain,6,0,0.111375,37,0,36,0,false,
Idle,Plain,7,0,0.104250,37,0,36,0,false,
Idle,Plain,8,0,0.116667,37,0,36,0,false,
Idle,Plain,9,0,0.114667,37,0,36,0,false,
Idle,Plain,10,0,0.105125,37,0,36,0,false,
Idle,Plain,11,0,0.122000,37,0,36,0,false,
Idle,Plain,12,0,0.114458,37,0,36,0,false,
Idle,Plain,13,0,0.104792,37,0,36,0,false,
Idle,Plain,14,0,0.129583,37,0,36,0,false,
Idle,Plain,15,0,0.122917,37,0,36,0,false,
Idle,Plain,16,0,0.105541,37,0,36,0,false,
Idle,Plain,17,0,0.119459,37,0,36,0,false,
Idle,Plain,18,0,0.106875,37,0,36,0,false,
Idle,Plain,19,0,0.102334,37,0,36,0,false,
Idle,Plain,20,0,0.112750,37,0,36,0,false,
Idle,Plain,21,0,0.115500,37,0,36,0,false,
Idle,Plain,22,0,0.100833,37,0,36,0,false,
Idle,Plain,23,0,0.117333,37,0,36,0,false,
Idle,Plain,24,0,0.115333,37,0,36,0,false,
Idle,Plain,25,0,0.100875,37,0,36,0,false,
Idle,Plain,26,0,0.116375,37,0,36,0,false,
Idle,Plain,27,0,0.114292,37,0,36,0,false,
Idle,Plain,28,0,0.104208,37,0,36,0,false,
Idle,Plain,29,0,0.128208,37,0,36,0,false,
Idle,Plain,30,0,0.127084,37,0,36,0,false,
Idle,Plain,31,0,0.102416,37,0,36,0,false,
Idle,Plain,32,0,0.140125,37,0,36,0,false,
Idle,Plain,33,0,0.116833,37,0,36,0,false,
Idle,Plain,34,0,0.102167,37,0,36,0,false,
Idle,Plain,35,0,0.122750,37,0,36,0,false,
Idle,Plain,36,0,0.112708,37,0,36,0,false,
Idle,Plain,37,0,0.102583,37,0,36,0,false,
Idle,Plain,38,0,0.128958,37,0,36,0,false,
Idle,Plain,39,0,0.117584,37,0,36,0,false,
Idle,Plain,40,0,0.121208,37,0,36,0,false,
Idle,Plain,41,0,0.126292,37,0,36,0,false,
Idle,Plain,42,0,0.116791,37,0,36,0,false,
Idle,Plain,43,0,0.100791,37,0,36,0,false,
Idle,Plain,44,0,0.126500,37,0,36,0,false,
Idle,Plain,45,0,0.109208,37,0,36,0,false,
Idle,Plain,46,0,0.105458,37,0,36,0,false,
Idle,Plain,47,0,0.115417,37,0,36,0,false,
Idle,Plain,48,0,0.107083,37,0,36,0,false,
Idle,Plain,49,0,0.103833,37,0,36,0,false,
Idle,Plain,50,0,0.118167,37,0,36,0,false,
Idle,Plain,51,0,0.109959,37,0,36,0,false,
Idle,Plain,52,0,0.100750,37,0,36,0,false,
Idle,Plain,53,0,0.118208,37,0,36,0,false,
Idle,Plain,54,0,0.114292,37,0,36,0,false,
Idle,Plain,55,0,0.104375,37,0,36,0,false,
Idle,Plain,56,0,0.116209,37,0,36,0,false,
Idle,Plain,57,0,0.122625,37,0,36,0,false,
Idle,Plain,58,0,0.102250,37,0,36,0,false,
Idle,Plain,59,0,0.115041,37,0,36,0,false,
Idle,Plain,60,0,0.122084,37,0,36,0,false,
Idle,Plain,61,0,0.105625,37,0,36,0,false,
Idle,Plain,62,0,0.127625,37,0,36,0,false,
Idle,Plain,63,0,0.114958,37,0,36,0,false,
Idle,Plain,64,0,0.102167,37,0,36,0,false,
Idle,Plain,65,0,0.129083,37,0,36,0,false,
Idle,Plain,66,0,0.118500,37,0,36,0,false,
Idle,Plain,67,0,0.102917,37,0,36,0,false,
Idle,Plain,68,0,0.115458,37,0,36,0,false,
Idle,Plain,69,0,0.109708,37,0,36,0,false,
Idle,Plain,70,0,0.102042,37,0,36,0,false,
Idle,Plain,71,0,0.126750,37,0,36,0,false,
Idle,Plain,72,0,0.112584,37,0,36,0,false,
Idle,Plain,73,0,0.118500,37,0,36,0,false,
Idle,Plain,74,0,0.171875,37,0,36,0,false,
Idle,Plain,75,0,0.117834,37,0,36,0,false,
Idle,Plain,76,0,0.104333,37,0,36,0,false,
Idle,Plain,77,0,0.119834,37,0,36,0,false,
Idle,Plain,78,0,0.117666,37,0,36,0,false,
Idle,Plain,79,0,0.105042,37,0,36,0,false,
Idle,Plain,80,0,0.122375,37,0,36,0,false,
Idle,Plain,81,0,0.111708,37,0,36,0,false,
Idle,Plain,82,0,0.104250,37,0,36,0,false,
Idle,Plain,83,0,0.117541,37,0,36,0,false,
Idle,Plain,84,0,0.114417,37,0,36,0,false,
Idle,Plain,85,0,0.103125,37,0,36,0,false,
